year,age,suicides_no,population,suicides/100k pop
2008,25-34 years,37756,297532003,12.69
2008,35-54 years,86664,542789284,15.97
2008,55-74 years,57687,332062421,17.38
2008,75+ years,23555,107132366,21.99
2009,5-14 years,1835,297254525,0.62
2009,15-24 years,28487,321540733,8.86
2009,25-34 years,39389,318594904,12.37
2009,35-54 years,90390,575243831,15.72
2009,55-74 years,59902,351397333,17.05
2009,75+ years,23484,112197040,20.94
2010,5-14 years,1760,297317505,0.6
2010,15-24 years,27684,321498365,8.62
2010,25-34 years,38317,321277547,11.93
2010,35-54 years,87364,581133742,15.04
2010,55-74 years,59743,361189135,16.55
2010,75+ years,23834,114881035,20.75
2011,5-14 years,1879,294238144,0.64
2011,15-24 years,27937,317262371,8.81
2011,25-34 years,37936,318111842,11.93
2011,35-54 years,85345,578742563,14.75
2011,55-74 years,59178,367532048,16.11
2011,75+ years,24209,117475364,20.61
2012,5-14 years,1752,271680873,0.65
2012,15-24 years,26280,295020664,8.91
2012,25-34 years,36625,303401688,12.08
2012,35-54 years,82482,558344819,14.78
2012,55-74 years,58443,365281729,16
2012,75+ years,24578,119082315,20.64
2013,5-14 years,1806,268175176,0.68
2013,15-24 years,24249,288206852,8.42
2013,25-34 years,35068,298709101,11.74
2013,35-54 years,80227,550420191,14.58
2013,55-74 years,57696,364931201,15.82
2013,75+ years,24153,119719189,20.18
2014,5-14 years,1882,268239985,0.71
2014,15-24 years,24028,287809150,8.35
2014,25-34 years,35381,302734620,11.69
2014,35-54 years,79132,556105537,14.23
2014,55-74 years,57696,374038522,15.43
2014,75+ years,24865,123129495,20.2
2015,5-14 years,1681,246636333,0.69
2015,15-24 years,21841,261674147,8.35
2015,25-34 years,32118,279250191,11.51
2015,35-54 years,71298,515972039,13.82
2015,55-74 years,53588,354566127,15.12
2015,75+ years,23114,116559095,19.84
2016,5-14 years,0,0,0
2016,15-24 years,1195,20296338,5.89
2016,25-34 years,2070,22641704,9.15
2016,35-54 years,5766,47314975,12.19
2016,55-74 years,4715,32084580,14.7
2016,75+ years,1857,9764299,19.02
